k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,hyouji,orders2
24,24,3,2,\widetilde{\eta},,,E (\widetilde{\eta})=E \widetilde{\eta},0 0 1 0 0 0 0 0 0 0 0 0,"[MMO] (5.22), \ H({\widetilde{\eta}})={\eta_{47}}",1 0 0 0 0 0 0 0 0 0 0 0,101,0 0 0 1 0 0 0 0 0 0 0 0,\widetilde{\eta},2
24,25,0,2,\delta_25,,,E (\delta_{25})=\delta_{26},1 0 0 0 0 0 0 0 0 0 0 0,E (\delta_{24})=\delta_{25},0 0 0 0 0 0 0 0 0 0 0 0,88,1 0 0 0 0 0 0 0 0 0 0 0,\delta_25,2
24,25,1,2,\bar{\mu}25σ42,,,E (\bar{\mu}_{25}σ_{42})=\bar{\mu}_{26}σ_{43},0 1 0 0 0 0 0 0 0 0 0 0,E (\bar{\mu}_{24}σ_{41})=\bar{\mu}_{25}σ_{42},0 0 0 0 0 0 0 0 0 0 0 0,38 9,0 1 0 0 0 0 0 0 0 0 0 0,\bar{\mu}25σ42,2
24,25,2,2,E \widetilde{\eta},,,"[MMO] (5.22), \ \Delta({\iota_{51}})={E\widetilde{\eta}}",0 0 0 0 0 0 0 0 0 0 0 0,E (\widetilde{\eta})=E \widetilde{\eta},0 0 0 0 0 0 0 0 0 0 0 0,101,0 0 1 0 0 0 0 0 0 0 0 0,E \widetilde{\eta},2
24,26,0,2,\delta_26,,,,,E (\delta_{25})=\delta_{26},0 0 0 0 0 0 0 0 0 0 0 0,88,1 0 0 0 0 0 0 0 0 0 0 0,\delta_26,2
24,26,1,2,\bar{\mu}26σ43,,,,,E (\bar{\mu}_{25}σ_{42})=\bar{\mu}_{26}σ_{43},0 0 0 0 0 0 0 0 0 0 0 0,38 9,0 1 0 0 0 0 0 0 0 0 0 0,\bar{\mu}26σ43,2
24,,2,,,,,,,,,,,,
25,2,0,2,η2ε'κ13,,,"[O1] Prop6.3(1), \ \Delta(\nu_5\sigma_8\kappa_{15})={\eta_{2}}{\varepsilon'}{\kappa_{13}}",0 0 0 0 0 0 0 0 0 0 0 0,,0 0 1 0 0 0 0 0 0 0 0 0,2 14 23,1 0 0 0 0 0 0 0 0 0 0 0,η2ε'κ13,2
25,2,1,2,η2\delta_3,,,"[O] Prop4.1(2), \  E (η_2\delta_3)\equiv 2\phi' \mod η_3\bar{\mu}_4σ_{21}",2 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,2 88,0 1 0 0 0 0 0 0 0 0 0 0,η2\delta_3,2
25,2,2,2,η2\bar{\mu}3σ20,,,E (η_2\bar{\mu}_3σ_{20})=η_3\bar{\mu}4σ_{21},0 0 0 1 0 0 0 0 0 0 0 0,,0 1 0 0 0 0 0 0 0 0 0 0,2 38 9,0 0 1 0 0 0 0 0 0 0 0 0,η2\bar{\mu}3σ20,2
